sic,office,industry
3851,Life Sciences,OPHTHALMIC GOODS
3861,Life Sciences,PHOTOGRAPHIC EQUIPMENT & SUPPLIES
3873,Life Sciences,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES/PARTS"
3910,Manufacturing,"JEWELRY, SILVERWARE & PLATED WARE"
3911,Manufacturing,"JEWELRY, PRECIOUS METAL"
3931,Manufacturing,MUSICAL INSTRUMENTS
3942,Manufacturing,DOLLS & STUFFED TOYS
3944,Manufacturing,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
3949,Manufacturing,"SPORTING & ATHLETIC GOODS, NEC"
3950,Manufacturing,"PENS, PENCILS & OTHER ARTISTS' MATERIALS"
3960,Manufacturing,COSTUME JEWELRY & NOVELTIES
3990,Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES
4011,Energy & Transportation,"RAILROADS, LINE-HAUL OPERATING"
4013,Energy & Transportation,RAILROAD SWITCHING & TERMINAL ESTABLISHMENTS
4100,Energy & Transportation,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS
4210,Energy & Transportation,TRUCKING & COURIER SERVICES (NO AIR)
4213,Energy & Transportation,TRUCKING (NO LOCAL)
4220,Energy & Transportation,PUBLIC WAREHOUSING & STORAGE
4231,Energy & Transportation,TERMINAL MAINTENANCE FACILITIES FOR MOTOR FREIGHT TRANSPORT
4400,Energy & Transportation,WATER TRANSPORTATION
4412,Energy & Transportation,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
4512,Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED"
4513,Energy & Transportation,AIR COURIER SERVICES
4522,Energy & Transportation,"AIR TRANSPORTATION, NONSCHEDULED"
4581,Energy & Transportation,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES"
4610,Energy & Transportation,PIPE LINES (NO NATURAL GAS)
4700,Energy & Transportation,TRANSPORTATION SERVICES
4731,Energy & Transportation,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
4812,Technology,RADIOTELEPHONE COMMUNICATIONS
4813,Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
4822,Technology,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS
4832,Technology,RADIO BROADCASTING STATIONS
4833,Technology,TELEVISION BROADCASTING STATIONS
4841,Technology,CABLE & OTHER PAY TELEVISION SERVICES
4899,Technology,"COMMUNICATIONS SERVICES, NEC"
4900,Energy & Transportation,"ELECTRIC, GAS & SANITARY SERVICES"
4911,Energy & Transportation,ELECTRIC SERVICES
4922,Energy & Transportation,NATURAL GAS TRANSMISSION
4923,Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION
4924,Energy & Transportation,NATURAL GAS DISTRIBUTION
4931,Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED
4932,Energy & Transportation,GAS & OTHER SERVICES COMBINED
4941,Energy & Transportation,WATER SUPPLY
4950,Energy & Transportation,SANITARY SERVICES
4953,Energy & Transportation,REFUSE SYSTEMS
4955,Energy & Transportation,HAZARDOUS WASTE MANAGEMENT
4961,Energy & Transportation,STEAM & AIR-CONDITIONING SUPPLY
4991,Energy & Transportation,COGENERATION SERVICES & SMALL POWER PRODUCERS
5000,Trade & Services,WHOLESALE-DURABLE GOODS
5010,Trade & Services,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
5013,Trade & Services,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS
5020,Trade & Services,WHOLESALE-FURNITURE & HOME FURNISHINGS
5030,Trade & Services,WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS
5031,Trade & Services,"WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS"
5040,Trade & Services,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES
5045,Trade & Services,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE
5047,Trade & Services,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES"
5050,Trade & Services,WHOLESALE-METALS & MINERALS (NO PETROLEUM)
5051,Trade & Services,WHOLESALE-METALS SERVICE CENTERS & OFFICES
5063,Trade & Services,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES"
5064,Trade & Services,"WHOLESALE-ELECTRICAL APPLIANCES, TV & RADIO SETS"
5065,Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
5070,Trade & Services,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES
5072,Trade & Services,WHOLESALE-HARDWARE
5080,Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES"
5082,Trade & Services,WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP
5084,Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT
5090,Trade & Services,WHOLESALE-MISC DURABLE GOODS
5094,Trade & Services,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS"
5099,Trade & Services,"WHOLESALE-DURABLE GOODS, NEC"
5110,Trade & Services,WHOLESALE-PAPER & PAPER PRODUCTS
5122,Trade & Services,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
5130,Trade & Services,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS"
5140,Trade & Services,WHOLESALE-GROCERIES & RELATED PRODUCTS
5141,Trade & Services,"WHOLESALE-GROCERIES, GENERAL LINE"
5150,Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS
5160,Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS
5171,Trade & Services,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS
5172,Trade & Services,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)
5180,Trade & Services,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES"
5190,Trade & Services,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS
5200,Trade & Services,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
5211,Trade & Services,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
5271,Trade & Services,RETAIL-MOBILE HOME DEALERS
5311,Trade & Services,RETAIL-DEPARTMENT STORES
5331,Trade & Services,RETAIL-VARIETY STORES
5399,Trade & Services,RETAIL-MISC GENERAL MERCHANDISE STORES
5400,Trade & Services,RETAIL-FOOD STORES
5411,Trade & Services,RETAIL-GROCERY STORES
5412,Trade & Services,RETAIL-CONVENIENCE STORES
5500,Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS
5531,Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES
5600,Trade & Services,RETAIL-APPAREL & ACCESSORY STORES
5621,Trade & Services,RETAIL-WOMEN'S CLOTHING STORES
5651,Trade & Services,RETAIL-FAMILY CLOTHING STORES
5661,Trade & Services,RETAIL-SHOE STORES
5700,Trade & Services,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES"
5712,Trade & Services,RETAIL-FURNITURE STORES
5731,Trade & Services,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES"
5734,Trade & Services,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES
5735,Trade & Services,RETAIL-RECORD & PRERECORDED TAPE STORES
5810,Trade & Services,RETAIL-EATING & DRINKING PLACES
5812,Trade & Services,RETAIL-EATING PLACES
5900,Trade & Services,RETAIL-MISCELLANEOUS RETAIL
5912,Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES
5940,Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
5944,Trade & Services,RETAIL-JEWELRY STORES
5945,Trade & Services,"RETAIL-HOBBY, TOY & GAME SHOPS"
5960,Trade & Services,RETAIL-NONSTORE RETAILERS
5961,Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES
5990,Trade & Services,"RETAIL-RETAIL STORES, NEC"
6021,Finance,NATIONAL COMMERCIAL BANKS
6022,Finance,STATE COMMERCIAL BANKS
6029,Finance,"COMMERCIAL BANKS, NEC"
6035,Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
6036,Finance,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
6099,Finance,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC"
6111,Finance,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES
6141,Finance,PERSONAL CREDIT INSTITUTIONS
6153,Finance,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
6159,Finance,MISCELLANEOUS BUSINESS CREDIT INSTITUTION
6162,Finance,MORTGAGE BANKERS & LOAN CORRESPONDENTS
6163,Finance,LOAN BROKERS
6172,Finance,FINANCE LESSORS
6189,Structured Finance,ASSET-BACKED SECURITIES
6199,Finance,FINANCE SERVICES
6200,Finance,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
6211,Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
6221,Finance,COMMODITY CONTRACTS BROKERS & DEALERS
6282,Finance,INVESTMENT ADVICE
6311,Finance,LIFE INSURANCE
6321,Finance,ACCIDENT & HEALTH INSURANCE
6324,Finance,HOSPITAL & MEDICAL SERVICE PLANS
6331,Finance,"FIRE, MARINE & CASUALTY INSURANCE"
6351,Finance,SURETY INSURANCE
6361,Finance,TITLE INSURANCE
6399,Finance,"INSURANCE CARRIERS, NEC"
6411,Finance,"INSURANCE AGENTS, BROKERS & SERVICE"
6500,Real Estate & Construction,REAL ESTATE
6510,Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS
6512,Real Estate & Construction,OPERATORS OF NONRESIDENTIAL BUILDINGS
6513,Real Estate & Construction,OPERATORS OF APARTMENT BUILDINGS
6519,Real Estate & Construction,"LESSORS OF REAL PROPERTY, NEC"
6531,Real Estate & Construction,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)
6532,Real Estate & Construction,REAL ESTATE DEALERS (FOR THEIR OWN ACCOUNT)
6552,Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)
6770,Real Estate & Construction,BLANK CHECKS
6792,Real Estate & Construction,OIL ROYALTY TRADERS
6794,Real Estate & Construction,PATENT OWNERS & LESSORS
6795,Real Estate & Construction,MINERAL ROYALTY TRADERS
6798,Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS
6799,Real Estate & Construction,"INVESTORS, NEC"
7000,Real Estate & Construction,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES"
7011,Real Estate & Construction,HOTELS & MOTELS
7200,Trade & Services,SERVICES-PERSONAL SERVICES
7310,Trade & Services,SERVICES-ADVERTISING
7311,Trade & Services,SERVICES-ADVERTISING AGENCIES
7320,Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
7330,Trade & Services,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"
7331,Trade & Services,SERVICES-DIRECT MAIL ADVERTISING SERVICES
7340,Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS
7350,Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING
7359,Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
7361,Trade & Services,SERVICES-EMPLOYMENT AGENCIES
7363,Trade & Services,SERVICES-HELP SUPPLY SERVICES
7370,Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
7371,Technology,SERVICES-COMPUTER PROGRAMMING SERVICES
7372,Technology,SERVICES-PREPACKAGED SOFTWARE
7373,Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
7374,Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
7377,Trade & Services,SERVICES-COMPUTER RENTAL & LEASING
7380,Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES
7381,Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES"
7384,Trade & Services,SERVICES-PHOTOFINISHING LABORATORIES
7385,Trade & Services,SERVICES-TELEPHONE INTERCONNECT SYSTEMS
7389,Trade & Services,"SERVICES-BUSINESS SERVICES, NEC"
7500,Trade & Services,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING"
7510,Trade & Services,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)
7600,Trade & Services,SERVICES-MISCELLANEOUS REPAIR SERVICES
7812,Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION
7819,Trade & Services,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION
7822,Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION
7829,Trade & Services,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION
7830,Trade & Services,SERVICES-MOTION PICTURE THEATERS
7841,Trade & Services,SERVICES-VIDEO TAPE RENTAL
7900,Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES
7948,Trade & Services,"SERVICES-RACING, INCLUDING TRACK OPERATION"
7990,Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
7997,Trade & Services,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS
8000,Life Sciences,SERVICES-HEALTH SERVICES
8011,Life Sciences,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE
8050,Life Sciences,SERVICES-NURSING & PERSONAL CARE FACILITIES
8051,Life Sciences,SERVICES-SKILLED NURSING CARE FACILITIES
8060,Life Sciences,SERVICES-HOSPITALS
8062,Life Sciences,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
8071,Life Sciences,SERVICES-MEDICAL LABORATORIES
8082,Life Sciences,SERVICES-HOME HEALTH CARE SERVICES
8090,Life Sciences,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
8093,Life Sciences,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC"
8111,Trade & Services,SERVICES-LEGAL SERVICES
8200,Trade & Services,SERVICES-EDUCATIONAL SERVICES
8300,Trade & Services,SERVICES-SOCIAL SERVICES
8351,Trade & Services,SERVICES-CHILD DAY CARE SERVICES
8600,Trade & Services,SERVICES-MEMBERSHIP ORGANIZATIONS
8700,Trade & Services,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
8711,Trade & Services,SERVICES-ENGINEERING SERVICES
8731,Trade & Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
8734,Trade & Services,SERVICES-TESTING LABORATORIES
8741,Trade & Services,SERVICES-MANAGEMENT SERVICES
8742,Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES
8744,Trade & Services,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
8880,International Corp Fin,AMERICAN DEPOSITARY RECEIPTS
8888,International Corp Fin,FOREIGN GOVERNMENTS
8900,Trade & Services,"SERVICES-SERVICES, NEC"
9721,International Corp Fin,INTERNATIONAL AFFAIRS
9995,Real Estate & Construction,NON-OPERATING ESTABLISHMENTS
